date_found,company,title,location,area_group,visa_bucket,fit_score,link,application_status,visa_reason,work_model,date_posted,job_id
2026-09-18,Worley,Expression of Interest for Engineering Intern - West Virginia University,"Charleston, WV",Southeast,B - Unclear,47,https://jobright.ai/jobs/info/6aad840d3d96632d741ae5d8,,No job description available - visa status not stated,On Site,2026-09-18,6aad840d3d96632d741ae5d8
2026-09-19,WSP in the U.S.,Overhead Transmission Line Design Engineering Intern - Summer 2027,"Trussville, AL",Southeast,A - Likely OK,89,https://jobright.ai/jobs/info/6aa9b17309ae03adcacde682,,Description read; nothing rules out international students,On Site,2026-09-19,6aa9b17309ae03adcacde682
2026-09-19,Qualcomm,Mechanical Engineering Internship – Summer 2027,"San Diego, CA",West,A - Likely OK,79,https://jobright.ai/jobs/info/6aad87110ebc8fb2313ea1a4,,Description read; nothing rules out international students,On Site,2026-09-19,6aad87110ebc8fb2313ea1a4
2026-09-19,Springs Window Fashions,Mechanical Engineering Internship - Summer 2027,"Long Island City, NY",Northeast,A - Likely OK,79,https://jobright.ai/jobs/info/6a89b3dad34f700f87fcbdb2,,Description mentions 'h1b',On Site,2026-09-19,6a89b3dad34f700f87fcbdb2
2026-09-19,Bennett Thrasher,IT Intern - AI & Automation,"Atlanta, GA",Southeast,A - Likely OK,75,https://jobright.ai/jobs/info/6a91b2829864261ccd29e406,,Description mentions 'h1b',On Site,2026-09-19,6a91b2829864261ccd29e406
2026-09-19,Eaton,Manufacturing Engineer Co-op - Spring 2027,"Sumter, SC",Southeast,B - Unclear,71,https://jobright.ai/jobs/info/6aadbf503dbb1f8967cef568,,No job description available - visa status not stated,On Site,2026-09-19,6aadbf503dbb1f8967cef568
2026-09-19,Eaton,R&D Engineering Intern,"Cleveland, TN",Southeast,B - Unclear,71,https://jobright.ai/jobs/info/6aadbf2cde327d3e210d43a1,,No job description available - visa status not stated,On Site,2026-09-19,6aadbf2cde327d3e210d43a1
2026-09-19,IBM,"Site Reliability Engineer Intern 2027 -Tucson, AZ","Tucson, AZ",Southwest,A - Likely OK,69,https://jobright.ai/jobs/info/6a9e3965a7ba386c5d671171,,Description mentions 'visa sponsorship',Hybrid,2026-09-19,6a9e3965a7ba386c5d671171
2026-09-19,Labcorp,Intern - Oncology Research and Development,"San Diego, CA",West,B - Unclear,67,https://jobright.ai/jobs/info/6aadacc82e757fcb5c8b9d06,,No job description available - visa status not stated,Remote,2026-09-19,6aadacc82e757fcb5c8b9d06
2026-09-19,Analog Devices,Biomedical Engineering Intern,"Wilmington, MA",Northeast,A - Likely OK,65,https://jobright.ai/jobs/info/6a9188f09864261ccd29d5cf,,Description mentions 'h1b',On Site,2026-09-19,6a9188f09864261ccd29d5cf
2026-09-19,ByteDance,Production Engineer Intern (AML-Production Engineer) - 2027 Summer,"San Jose, CA",West,A - Likely OK,65,https://jobright.ai/jobs/info/6a89b50bcde3717f9e9b890c,,Description mentions 'h1b',On Site,2026-09-19,6a89b50bcde3717f9e9b890c
2026-09-19,Copart,Database Engineering Intern,"Dallas, TX",Southwest,A - Likely OK,65,https://jobright.ai/jobs/info/6a4631a34f64ba41dcb514fd,,Description read; nothing rules out international students,On Site,2026-09-19,6a4631a34f64ba41dcb514fd
2026-09-19,Qualcomm,"Hardware (CPU, GPU, SoC, Digital Design, DV) Engineering Internship – Summer 2027","San Diego, CA",West,A - Likely OK,65,https://jobright.ai/jobs/info/6aad87212e757fcb5c8b8f38,,Description read; nothing rules out international students,On Site,2026-09-19,6aad87212e757fcb5c8b8f38
2026-09-19,Qualcomm,RF/Analog Design/Mixed-Signal Engineering Internship – Summer 2027,"San Diego, CA",West,A - Likely OK,65,https://jobright.ai/jobs/info/6aad872d3d96632d741ae7a3,,Description mentions 'h1b',On Site,2026-09-19,6aad872d3d96632d741ae7a3
2026-09-19,Qualcomm,Wireless Systems Engineering Internship - Summer 2027,"San Diego, CA",West,A - Likely OK,65,https://jobright.ai/jobs/info/6aad87250ebc8fb2313ea1bd,,Description read; nothing rules out international students,On Site,2026-09-19,6aad87250ebc8fb2313ea1bd
2026-09-19,Marathon Petroleum Corporation,Intern/Co-op - Refining Mechanical Engineer (Summer 2027),"Findlay, OH",Midwest,B - Unclear,61,https://jobright.ai/jobs/info/6a91a658a27a2d3c984890c8,,No job description available - visa status not stated,On Site,2026-09-19,6a91a658a27a2d3c984890c8
2026-09-19,Eaton,Product Development Engineering Co-op - Spring 2027,"Hodges, SC",Southeast,B - Unclear,57,https://jobright.ai/jobs/info/6aadbf840ebc8fb2313eb58f,,No job description available - visa status not stated,On Site,2026-09-19,6aadbf840ebc8fb2313eb58f
2026-09-19,Brunswick Corporation,Industrial Engineering-Continuous Improvement Intern,"Menomonee Falls, WI",Midwest,B - Unclear,47,https://jobright.ai/jobs/info/6a91c83ea27a2d3c9848a1f0,,No job description available - visa status not stated,On Site,2026-09-19,6a91c83ea27a2d3c9848a1f0
2026-09-19,Dematic,Controls Engineering Intern/Co-Op,"Grand Rapids, MI",Midwest,B - Unclear,47,https://jobright.ai/jobs/info/6a71fc7345b6af1c30dbbd14,,No job description available - visa status not stated,On Site,2026-09-19,6a71fc7345b6af1c30dbbd14
2026-09-19,Goodfellow Bros.,"Project Engineer Intern – Summer 2027 (Livermore, CA)","Livermore, CA",West,B - Unclear,47,https://jobright.ai/jobs/info/6aaea7bade327d3e210d5ceb,,No job description available - visa status not stated,On Site,2026-09-19,6aaea7bade327d3e210d5ceb
2026-09-19,Keurig Dr Pepper Inc.,Fall 2027 Co-op - Quality Engineer,"Essex Junction, VT",Northeast,B - Unclear,47,https://jobright.ai/jobs/info/6aa43e701d92e2d05d114071,,No job description available - visa status not stated,On Site,2026-09-19,6aa43e701d92e2d05d114071
2026-09-19,Koch,Early Career Engineer Internship,"Lisle, IL",Midwest,B - Unclear,47,https://jobright.ai/jobs/info/6a92c41da27a2d3c9848c172,,No job description available - visa status not stated,On Site,2026-09-19,6a92c41da27a2d3c9848c172
2026-09-19,"LSB Industries, Inc.",Capital Engineering Intern (60134),"Oklahoma City, OK",Southwest,B - Unclear,47,https://jobright.ai/jobs/info/6a92104ad18f75674827b59d,,No job description available - visa status not stated,On Site,2026-09-19,6a92104ad18f75674827b59d
2026-09-19,Springs Window Fashions,Application Engineering Internship - Summer 2027,"Long Island City, NY",Northeast,B - Unclear,47,https://jobright.ai/jobs/info/6a899fd8680f314a29d3f291,,No job description available - visa status not stated,On Site,2026-09-19,6a899fd8680f314a29d3f291
2026-09-20,Magellan Aerospace Limited,Mechanical Engineering Intern Job Details / Magellan,"Bohemia, NY",Northeast,A - Likely OK,79,https://jobright.ai/jobs/info/6ab0119ad3af3856cd9926a8,,Description read; nothing rules out international students,On Site,2026-09-20,6ab0119ad3af3856cd9926a8
2026-09-20,Second Order Effects,Mechanical Engineering Intern (Spring 2027),"El Segundo, CA",West,A - Likely OK,79,https://jobright.ai/jobs/info/6a5c4daec8e3a473cb8b1f44,,Description read; nothing rules out international students,On Site,2026-09-20,6a5c4daec8e3a473cb8b1f44
2026-09-20,Koch,Georgia-Pacific Process Engineering Internship,"Brewton, AL",Southeast,A - Likely OK,75,https://jobright.ai/jobs/info/6aafc62417919d43c1d32b2e,,Description mentions 'visa sponsorship',On Site,2026-09-20,6aafc62417919d43c1d32b2e
2026-09-20,Schaeffler,Co-op - Engineering - Fall 2026,"Fort Mill, SC",Southeast,A - Likely OK,75,https://jobright.ai/jobs/info/6a55f87721f64463ad3513d8,,Description read; nothing rules out international students,On Site,2026-09-20,6a55f87721f64463ad3513d8
2026-09-20,Flex,Mechanical Engineering Co-op - Spring 2027,"Orangeburg, SC",Southeast,B - Unclear,71,https://jobright.ai/jobs/info/6a767fd14817aa4307048968,,No job description available - visa status not stated,On Site,2026-09-20,6a767fd14817aa4307048968
2026-09-20,Koch,Manufacturing Excellence Engineer Intern,"Brewton, AL",Southeast,B - Unclear,71,https://jobright.ai/jobs/info/6aafc5fe2e757fcb5c8bcfa7,,No job description available - visa status not stated,On Site,2026-09-20,6aafc5fe2e757fcb5c8bcfa7
2026-09-20,Boston Scientific,Supplier Engineering Internship,"Arden Hills, MN",Midwest,A - Likely OK,69,https://jobright.ai/jobs/info/6ab0220c3dbb1f8967cf28d0,,Description read; nothing rules out international students,Hybrid,2026-09-20,6ab0220c3dbb1f8967cf28d0
2026-09-20,Capital One,"Current Master's, AI Engineering Internship Program - Summer 2027","New York, NY",Northeast,A - Likely OK,69,https://jobright.ai/jobs/info/6aa0177cea127c3794694e3a,,Description read; nothing rules out international students,Hybrid,2026-09-20,6aa0177cea127c3794694e3a
2026-09-20,Syensqo,Engineering Intern,"Piedmont, SC",Southeast,A - Likely OK,67,https://jobright.ai/jobs/info/6aafd5023d96632d741b2799,,Description mentions 'h1b',On Site,2026-09-20,6aafd5023d96632d741b2799
2026-09-20,Bosch,AI Engineering Intern (October 2026 - August 2027),"Plymouth, MI",Midwest,A - Likely OK,65,https://jobright.ai/jobs/info/6aac6ba52e757fcb5c8b57bc,,Description read; nothing rules out international students,On Site,2026-09-20,6aac6ba52e757fcb5c8b57bc
2026-09-20,GE Vernova,Engineering Intern - Power Conversion & Storage AI Tool Developer  2027,"Niskayuna, NY",Northeast,A - Likely OK,65,https://jobright.ai/jobs/info/6aad4c660ebc8fb2313e8aa9,,Description read; nothing rules out international students,On Site,2026-09-20,6aad4c660ebc8fb2313e8aa9
2026-09-20,Joby Aviation,Quality Engineering Intern,"Marina, CA",West,A - Likely OK,65,https://jobright.ai/jobs/info/6a4ff384fc327f422fef72f9,,Description mentions 'h1b',On Site,2026-09-20,6a4ff384fc327f422fef72f9
2026-09-20,Koch,Georgia-Pacific Process Engineer Intern,"Zachary, LA",Southeast,A - Likely OK,65,https://jobright.ai/jobs/info/6aafc4d73d96632d741b2672,,Description mentions 'visa sponsorship',On Site,2026-09-20,6aafc4d73d96632d741b2672
2026-09-20,Koch,Guardian Summer 2027 Engineering Intern,"Geneva, NY",Northeast,A - Likely OK,65,https://jobright.ai/jobs/info/6a9c470aa7ba386c5d66e268,,Description mentions 'visa sponsorship',On Site,2026-09-20,6a9c470aa7ba386c5d66e268
2026-09-20,Procter & Gamble,Data & AI Engineering Internship,"Cincinnati, OH",Midwest,A - Likely OK,65,https://jobright.ai/jobs/info/6a8ca1e41d96e6541c8c20ac,,Description read; nothing rules out international students,On Site,2026-09-20,6a8ca1e41d96e6541c8c20ac
2026-09-20,Schaeffler,Co-op Engineering - Fall 2026,"Armada, MI",Midwest,A - Likely OK,65,https://jobright.ai/jobs/info/6a8f1815a10ee661e24d67ed,,Description read; nothing rules out international students,On Site,2026-09-20,6a8f1815a10ee661e24d67ed
